ThreadID,CallerID,StartNanos,EndNanos
1,/_382627885,12017051458309,12017074852593
1,mvvar_1866229258,12017075204303,12017075612371
1,/_1962266146,12017077800843,12017077845248
1,mvvar_632071960,12017077856253,12017077878764
1,-_709133385,12017135097066,12017135214901
1,mvvar_854733477,12017135240929,12017135272076
1,/_1140338296,12017136399759,12017136454929
1,mvvar_15024899,12017136466943,12017136488408
1,-_1174248013,12017151809582,12017151917413
1,mvvar_1346799731,12017151940251,12017151969508
1,time_1053632127,12017286683140,12017292098185
1,mvvar_1493158871,12017292138097,12017292172784
1,createvar_89509666,12017292195440,12017292313089
1,createvar_1806880779,12017292319665,12017292363693
1,ooc_rblk_1299327689,12017292372003,12017295303290
1,>_1574873161,12017296579810,12017296636722
1,mvvar_1591916281,12017296681962,12017296710040
1,createvar_600958416,12017296881533,12017296965591
1,ooc_tee_1520267010,12017296978786,12017312152235
1,createvar_1894758168,12017312224434,12017312350628
1,ooc_uacmean_806813022,12017312359681,12017315561519
1,createvar_256346753,12017315601156,12017315716622
1,ooc_replace_1694784135,12017315725547,12017328737236
1,rmvar_1268974304,12017328781709,12017328946433
1,createvar_244872973,12017328956445,12017329037543
1,ooc_tee_1207231495,12017329047168,12017329093319
1,rmvar_795748540,12017329099587,12017329133134
1,createvar_2081000371,12017329138809,12017329162801
1,ooc_-_1221981006,12017329168858,12017335762656
1,rmvar_295180183,12017335812903,12017335922529
1,createvar_1547883191,12017335929882,12017335989520
1,ooc_tee_264394929,12017335996160,12017336035870
1,rmvar_1528769018,12017336041944,12017336079272
1,createvar_183155105,12017336085606,12017336110341
1,ooc_^2_1474957626,12017336116014,12017336577798
1,createvar_172794870,12017336588733,12017336624560
1,ooc_uack+_181252244,12017336631743,12017336707816
1,rmvar_1927963027,12017336715022,12017336738642
1,createvar_833240229,12017336744209,12017336768280
1,ooc_/_1733022752,12017336773861,12017336886321
1,rmvar_191568263,12017336894035,12017336916529
1,createvar_1799635803,12017336922099,12017336944946
1,ooc_sqrt_753631393,12017336951423,12017337470148
1,rmvar_893640573,12017337481762,12017337513831
1,createvar_2085886997,12017337519948,12017337548347
1,ooc_replace_1262869688,12017337554956,12017337654722
1,rmvar_1770070706,12017337661531,12017337682903
1,createvar_1108517064,12017337688698,12017337709924
1,ooc_replace_1914108708,12017337715419,12017337789824
1,rmvar_992743048,12017337796204,12017337816543
1,createvar_1540894701,12017337823957,12017337862745
1,ooc_tee_544386226,12017337868593,12017337887132
1,rmvar_1198197478,12017337891945,12017337912522
1,createvar_476579021,12017337917398,12017337970058
1,ooc_/_1357700757,12017337976535,12017338175914
1,rmvar_1055601039,12017338182674,12017338214502
1,createvar_547441493,12017338220562,12017338265988
1,ooc_tee_900298796,12017338273301,12017338287860
1,rmvar_1839206329,12017338292598,12017338312846
1,createvar_169880779,12017338320607,12017338340035
30,ooc_-_1221981006,12017388627463,12017389582929
30,ooc_-_1221981006,12017413528257,12017413674006
30,ooc_-_1221981006,12017435367864,12017435408784
30,ooc_-_1221981006,12017456546377,12017456637858
30,ooc_-_1221981006,12017474613402,12017474671843
30,ooc_-_1221981006,12017491214826,12017491259414
30,ooc_-_1221981006,12017510283541,12017510343318
30,ooc_-_1221981006,12017528485269,12017528536519
30,ooc_-_1221981006,12017544837688,12017544884071
30,ooc_-_1221981006,12017563100747,12017563151987
30,ooc_-_1221981006,12017579307230,12017579355068
30,ooc_-_1221981006,12017597819185,12017597863231
30,ooc_-_1221981006,12017614064936,12017614096843
30,ooc_-_1221981006,12017628431667,12017628475494
30,ooc_-_1221981006,12017645147958,12017645196470
30,ooc_-_1221981006,12017661192695,12017661241728
30,ooc_-_1221981006,12017678530224,12017678578924
30,ooc_-_1221981006,12017697965890,12017698023616
30,ooc_-_1221981006,12017713851042,12017713903560
30,ooc_-_1221981006,12017730443129,12017730487105
30,ooc_-_1221981006,12017747818623,12017747865882
30,ooc_-_1221981006,12017763403558,12017763454057
30,ooc_-_1221981006,12017780271709,12017780318099
30,ooc_-_1221981006,12017797341018,12017797384483
30,ooc_-_1221981006,12017813175190,12017813230885
30,ooc_-_1221981006,12017830712948,12017830759770
30,ooc_-_1221981006,12017852115534,12017852158293
30,ooc_-_1221981006,12017871253569,12017871296437
30,ooc_-_1221981006,12017888100966,12017888148148
30,ooc_-_1221981006,12017905314844,12017905355879
30,ooc_-_1221981006,12017922541539,12017922592726
30,ooc_-_1221981006,12017938942770,12017938996606
30,ooc_-_1221981006,12017955421416,12017955473265
30,ooc_-_1221981006,12017978613274,12017978650281
30,ooc_-_1221981006,12017998769090,12017998810031
30,ooc_-_1221981006,12018022481318,12018022519986
30,ooc_-_1221981006,12018043977497,12018044027610
30,ooc_-_1221981006,12018065216303,12018065264649
30,ooc_-_1221981006,12018085722649,12018085768056
30,ooc_-_1221981006,12018108022092,12018108056065
30,ooc_-_1221981006,12018128352156,12018128388214
30,ooc_-_1221981006,12018145441520,12018145474553
30,ooc_-_1221981006,12018162851973,12018162885380
30,ooc_-_1221981006,12018180263278,12018180301742
30,ooc_-_1221981006,12018195969633,12018196013093
30,ooc_-_1221981006,12018216377785,12018216423011
33,ooc_-_1221981006,12018254632997,12018254677928
33,ooc_-_1221981006,12018272723589,12018272780023
