ThreadID,CallerID,Timestamp,ScheduledEvictionSize,CacheSize
22,LRUCacheScheduler,22818033969362,0,8000009
22,LRUCacheScheduler,22818070182294,0,16000018
22,LRUCacheScheduler,22818089600937,0,24000027
22,LRUCacheScheduler,22818107483462,0,32000036
22,LRUCacheScheduler,22818124282073,0,40000045
22,LRUCacheScheduler,22818140479474,0,48000054
22,LRUCacheScheduler,22818156706593,0,56000063
22,LRUCacheScheduler,22818173759222,0,64000072
22,LRUCacheScheduler,22818190869498,0,72000081
22,LRUCacheScheduler,22818208053471,0,80000090
22,LRUCacheScheduler,22818224582764,0,88000099
22,LRUCacheScheduler,22818241368271,0,96000108
22,LRUCacheScheduler,22818257677177,0,104000117
22,LRUCacheScheduler,22818274276807,0,112000126
22,LRUCacheScheduler,22818293495002,0,120000135
22,LRUCacheScheduler,22818312293501,0,128000144
22,LRUCacheScheduler,22818327053917,0,136000153
22,LRUCacheScheduler,22818348733425,0,144000162
22,LRUCacheScheduler,22818369834592,0,152000171
22,LRUCacheScheduler,22818392290402,0,160000180
22,LRUCacheScheduler,22818412713949,0,168000189
22,LRUCacheScheduler,22818432676446,0,176000198
22,LRUCacheScheduler,22818449587519,0,184000207
22,LRUCacheScheduler,22818465659423,0,192000216
22,LRUCacheScheduler,22818481523361,0,200000225
22,LRUCacheScheduler,22818500198341,0,208000234
22,LRUCacheScheduler,22818521900093,0,216000243
22,LRUCacheScheduler,22818539317599,0,224000252
22,LRUCacheScheduler,22818554956942,0,232000261
22,LRUCacheScheduler,22818570589768,0,240000270
22,LRUCacheScheduler,22818586872343,0,248000279
22,LRUCacheScheduler,22818604314246,0,256000288
22,LRUCacheScheduler,22818623096009,0,264000297
22,LRUCacheScheduler,22818642854933,0,272000306
22,LRUCacheScheduler,22818660628917,0,280000315
22,LRUCacheScheduler,22818679950088,0,288000324
22,LRUCacheScheduler,22818697808561,0,296000333
22,LRUCacheScheduler,22818717856473,0,304000342
22,LRUCacheScheduler,22818735594506,0,312000351
22,LRUCacheScheduler,22818753922736,0,320000360
22,LRUCacheScheduler,22818772126596,0,328000369
22,LRUCacheScheduler,22818789357719,0,336000378
22,LRUCacheScheduler,22818806533486,0,344000387
22,LRUCacheScheduler,22818822598469,0,352000396
22,LRUCacheScheduler,22818839200660,0,360000405
22,LRUCacheScheduler,22818855085725,0,368000414
22,LRUCacheScheduler,22818889236300,0,376000423
22,LRUCacheScheduler,22818907604129,0,384000432
22,LRUCacheScheduler,22818924588099,0,392000441
22,LRUCacheScheduler,22818940093546,0,400000450
22,LRUCacheScheduler,22818955915677,0,408000459
22,LRUCacheScheduler,22818971560451,0,416000468
22,LRUCacheScheduler,22818987146233,0,424000477
22,LRUCacheScheduler,22819002640866,0,432000486
22,LRUCacheScheduler,22819018761512,0,440000495
22,LRUCacheScheduler,22819033989442,0,448000504
22,LRUCacheScheduler,22819049844080,0,456000513
22,LRUCacheScheduler,22819065545530,0,464000522
22,LRUCacheScheduler,22819082121157,0,472000531
22,LRUCacheScheduler,22819099430179,0,480000540
22,LRUCacheScheduler,22819116666232,0,488000549
22,LRUCacheScheduler,22819134101226,0,496000558
22,LRUCacheScheduler,22819149896927,0,504000567
22,LRUCacheScheduler,22819165830471,0,512000576
22,LRUCacheScheduler,22819182012204,0,520000585
22,LRUCacheScheduler,22819197303979,0,528000594
22,LRUCacheScheduler,22819213331569,0,536000603
22,LRUCacheScheduler,22819228801313,0,544000612
22,LRUCacheScheduler,22819244161079,0,552000621
22,LRUCacheScheduler,22819259538304,0,560000630
22,LRUCacheScheduler,22819275245894,0,568000639
22,LRUCacheScheduler,22819291488273,0,576000648
22,LRUCacheScheduler,22819307219524,0,584000657
22,LRUCacheScheduler,22819323762720,0,592000666
22,LRUCacheScheduler,22819339408878,0,600000675
22,LRUCacheScheduler,22819354818229,0,608000684
22,LRUCacheScheduler,22819370840172,0,616000693
22,LRUCacheScheduler,22819387952979,0,624000702
22,LRUCacheScheduler,22819403472764,0,632000711
22,LRUCacheScheduler,22819419259041,0,640000720
22,LRUCacheScheduler,22819434574869,0,648000729
22,LRUCacheScheduler,22819450057620,0,656000738
22,LRUCacheScheduler,22819465340223,0,664000747
22,LRUCacheScheduler,22819481185743,0,672000756
22,LRUCacheScheduler,22819496535610,0,680000765
22,LRUCacheScheduler,22819512201413,0,688000774
22,LRUCacheScheduler,22819527988965,0,696000783
22,LRUCacheScheduler,22819543376393,0,704000792
22,LRUCacheScheduler,22819558542561,0,712000801
22,LRUCacheScheduler,22819573642692,0,720000810
22,LRUCacheScheduler,22819588877941,0,728000819
22,LRUCacheScheduler,22819604527763,0,736000828
22,LRUCacheScheduler,22819632329945,0,744000837
22,LRUCacheScheduler,22819648045341,0,752000846
22,LRUCacheScheduler,22819663136591,0,760000855
22,LRUCacheScheduler,22819678095642,0,768000864
22,LRUCacheScheduler,22819693049753,0,776000873
22,LRUCacheScheduler,22819708034702,0,784000882
22,LRUCacheScheduler,22819723559096,0,792000891
22,LRUCacheScheduler,22819738631485,0,800000900
22,LRUCacheScheduler,22819753809983,0,808000909
22,LRUCacheScheduler,22819768849707,0,816000918
22,LRUCacheScheduler,22819785428533,0,824000927
22,LRUCacheScheduler,22819800847710,0,832000936
22,LRUCacheScheduler,22819816281419,0,840000945
22,LRUCacheScheduler,22819831446690,0,848000954
22,LRUCacheScheduler,22819846986001,0,856000963
22,LRUCacheScheduler,22819862200708,0,864000972
22,LRUCacheScheduler,22819877274154,0,872000981
22,LRUCacheScheduler,22819892595482,0,880000990
22,LRUCacheScheduler,22819908411298,0,888000999
22,LRUCacheScheduler,22819924420519,0,896001008
22,LRUCacheScheduler,22819939590642,0,904001017
22,LRUCacheScheduler,22819954713255,0,912001026
22,LRUCacheScheduler,22819970246159,0,920001035
22,LRUCacheScheduler,22819985666647,0,928001044
22,LRUCacheScheduler,22820001197551,0,936001053
22,LRUCacheScheduler,22820016664099,0,944001062
22,LRUCacheScheduler,22820032637606,0,952001071
22,LRUCacheScheduler,22820047657412,0,960001080
22,LRUCacheScheduler,22820062837732,0,968001089
22,LRUCacheScheduler,22820080732301,0,976001098
22,LRUCacheScheduler,22820098146800,0,984001107
22,LRUCacheScheduler,22820115793989,0,992001116
22,LRUCacheScheduler,22820131436032,0,1000001125
22,LRUCacheScheduler,22820146875340,0,1008001134
22,LRUCacheScheduler,22820161842990,0,1016001143
22,LRUCacheScheduler,22820177261227,0,1024001152
22,LRUCacheScheduler,22820192686884,0,1032001161
22,LRUCacheScheduler,22820208098503,0,1040001170
22,LRUCacheScheduler,22820223610499,0,1048001179
22,LRUCacheScheduler,22820238965759,0,1056001188
22,LRUCacheScheduler,22820254301397,0,1064001197
22,LRUCacheScheduler,22820271374740,0,1072001206
22,LRUCacheScheduler,22820316743264,8000009,1080001215
22,LRUCacheScheduler,22820334360442,16000018,1088001224
22,LRUCacheScheduler,22820349612280,24000027,1096001233
22,LRUCacheScheduler,22820364480460,32000036,1104001242
34,LRUCacheScheduler,22820364526030,24000027,1096001233
34,LRUCacheScheduler,22820377131415,24000027,1088001224
35,LRUCacheScheduler,22820381605930,16000018,1080001215
22,LRUCacheScheduler,22820393109533,16000018,1088001224
22,LRUCacheScheduler,22820408651266,24000027,1096001233
34,LRUCacheScheduler,22820409060141,16000018,1088001224
35,LRUCacheScheduler,22820425176137,16000018,1080001215
22,LRUCacheScheduler,22820425925365,16000018,1088001224
34,LRUCacheScheduler,22820441663945,16000018,1080001215
22,LRUCacheScheduler,22820442150711,16000018,1088001224
35,LRUCacheScheduler,22820457219351,16000018,1080001215
22,LRUCacheScheduler,22820457628809,16000018,1088001224
34,LRUCacheScheduler,22820472226824,16000018,1080001215
22,LRUCacheScheduler,22820473176707,16000018,1088001224
35,LRUCacheScheduler,22820486384561,16000018,1080001215
22,LRUCacheScheduler,22820489953097,16000018,1088001224
34,LRUCacheScheduler,22820502280882,16000018,1080001215
22,LRUCacheScheduler,22820508826752,16000018,1088001224
35,LRUCacheScheduler,22820521797210,16000018,1080001215
22,LRUCacheScheduler,22820526966226,16000018,1088001224
34,LRUCacheScheduler,22820540307619,16000018,1080001215
22,LRUCacheScheduler,22820542815129,16000018,1088001224
35,LRUCacheScheduler,22820556275899,16000018,1080001215
22,LRUCacheScheduler,22820558441044,16000018,1088001224
34,LRUCacheScheduler,22820572404145,16000018,1080001215
34,LRUCacheScheduler,22820572611378,8000009,1072001206
22,LRUCacheScheduler,22820574929295,8000009,1080001215
35,LRUCacheScheduler,22820591874573,8000009,1072001206
22,LRUCacheScheduler,22820593459393,8000009,1080001215
22,LRUCacheScheduler,22820609102512,16000018,1088001224
35,LRUCacheScheduler,22820625837620,16000018,1080001215
35,LRUCacheScheduler,22820625915242,8000009,1072001206
22,LRUCacheScheduler,22820626437265,8000009,1080001215
34,LRUCacheScheduler,22820643977366,8000009,1072001206
22,LRUCacheScheduler,22820645755286,8000009,1080001215
22,LRUCacheScheduler,22820660134150,16000018,1088001224
22,LRUCacheScheduler,22820675941447,24000027,1096001233
34,LRUCacheScheduler,22820676240144,16000018,1088001224
34,LRUCacheScheduler,22820690841847,16000018,1080001215
22,LRUCacheScheduler,22820691651215,16000018,1088001224
35,LRUCacheScheduler,22820705841263,16000018,1080001215
22,LRUCacheScheduler,22820707022075,16000018,1088001224
34,LRUCacheScheduler,22820721215476,16000018,1080001215
