ThreadID,CallerID,Timestamp,ScheduledEvictionSize,CacheSize
22,LRUCacheScheduler,7977189443081,0,8000009
22,LRUCacheScheduler,7977224304048,0,16000018
22,LRUCacheScheduler,7977244246338,0,24000027
22,LRUCacheScheduler,7977261092718,0,32000036
22,LRUCacheScheduler,7977278321977,0,40000045
22,LRUCacheScheduler,7977295170354,0,48000054
22,LRUCacheScheduler,7977312246254,0,56000063
22,LRUCacheScheduler,7977329588559,0,64000072
22,LRUCacheScheduler,7977347090394,0,72000081
22,LRUCacheScheduler,7977364118795,0,80000090
22,LRUCacheScheduler,7977381395573,0,88000099
22,LRUCacheScheduler,7977399024112,0,96000108
22,LRUCacheScheduler,7977415911424,0,104000117
22,LRUCacheScheduler,7977432982726,0,112000126
22,LRUCacheScheduler,7977451499651,0,120000135
22,LRUCacheScheduler,7977469501083,0,128000144
22,LRUCacheScheduler,7977486075085,0,136000153
22,LRUCacheScheduler,7977503999302,0,144000162
22,LRUCacheScheduler,7977521727445,0,152000171
22,LRUCacheScheduler,7977539368781,0,160000180
22,LRUCacheScheduler,7977556282590,0,168000189
22,LRUCacheScheduler,7977573450622,0,176000198
22,LRUCacheScheduler,7977590045532,0,184000207
22,LRUCacheScheduler,7977605787541,0,192000216
22,LRUCacheScheduler,7977621839549,0,200000225
22,LRUCacheScheduler,7977637905305,0,208000234
22,LRUCacheScheduler,7977657412210,0,216000243
22,LRUCacheScheduler,7977674738705,0,224000252
22,LRUCacheScheduler,7977690428284,0,232000261
22,LRUCacheScheduler,7977706196808,0,240000270
22,LRUCacheScheduler,7977722108738,0,248000279
22,LRUCacheScheduler,7977738128869,0,256000288
22,LRUCacheScheduler,7977753805081,0,264000297
22,LRUCacheScheduler,7977769264315,0,272000306
22,LRUCacheScheduler,7977784781840,0,280000315
22,LRUCacheScheduler,7977801210628,0,288000324
22,LRUCacheScheduler,7977817197312,0,296000333
22,LRUCacheScheduler,7977835505611,0,304000342
22,LRUCacheScheduler,7977851128081,0,312000351
22,LRUCacheScheduler,7977866817691,0,320000360
22,LRUCacheScheduler,7977882186211,0,328000369
22,LRUCacheScheduler,7977897909189,0,336000378
22,LRUCacheScheduler,7977913604385,0,344000387
22,LRUCacheScheduler,7977930329903,0,352000396
22,LRUCacheScheduler,7977946753640,0,360000405
22,LRUCacheScheduler,7977963675492,0,368000414
22,LRUCacheScheduler,7977993821036,0,376000423
22,LRUCacheScheduler,7978010320179,0,384000432
22,LRUCacheScheduler,7978028449053,0,392000441
22,LRUCacheScheduler,7978044807174,0,400000450
22,LRUCacheScheduler,7978061699835,0,408000459
22,LRUCacheScheduler,7978078591937,0,416000468
22,LRUCacheScheduler,7978095150820,0,424000477
22,LRUCacheScheduler,7978111728501,0,432000486
22,LRUCacheScheduler,7978128753471,0,440000495
22,LRUCacheScheduler,7978146081890,0,448000504
22,LRUCacheScheduler,7978164201559,0,456000513
22,LRUCacheScheduler,7978179683612,0,464000522
22,LRUCacheScheduler,7978196949880,0,472000531
22,LRUCacheScheduler,7978212911420,0,480000540
22,LRUCacheScheduler,7978230887955,0,488000549
22,LRUCacheScheduler,7978246334449,0,496000558
22,LRUCacheScheduler,7978262763097,0,504000567
22,LRUCacheScheduler,7978278918040,0,512000576
22,LRUCacheScheduler,7978295246037,0,520000585
