ThreadID,CallerID,Timestamp,ScheduledEvictionSize,CacheSize
39,LRUCacheScheduler,7235563067693,0,8000009
36,LRUCacheScheduler,7235563232399,0,16000018
34,LRUCacheScheduler,7235563346322,0,24000027
37,LRUCacheScheduler,7235563418044,0,32000036
38,LRUCacheScheduler,7235563488093,0,40000045
33,LRUCacheScheduler,7235564545496,0,48000054
35,LRUCacheScheduler,7235567336812,0,56000063
32,LRUCacheScheduler,7235567473128,0,64000072
30,LRUCacheScheduler,7235567571923,0,72000081
31,LRUCacheScheduler,7235573152363,0,80000090
37,LRUCacheScheduler,7235585588322,0,88000099
35,LRUCacheScheduler,7235587143750,0,96000108
39,LRUCacheScheduler,7235590709760,0,104000117
30,LRUCacheScheduler,7235591065578,0,112000126
34,LRUCacheScheduler,7235591970312,0,120000135
36,LRUCacheScheduler,7235593152888,0,128000144
37,LRUCacheScheduler,7235625613696,0,136000153
31,LRUCacheScheduler,7235626237561,0,144000162
39,LRUCacheScheduler,7235629441282,0,152000171
34,LRUCacheScheduler,7235631667807,0,160000180
38,LRUCacheScheduler,7235644442953,0,168000189
31,LRUCacheScheduler,7235644786085,0,176000198
37,LRUCacheScheduler,7235646070323,0,184000207
35,LRUCacheScheduler,7235647766355,0,192000216
33,LRUCacheScheduler,7235648125168,0,200000225
36,LRUCacheScheduler,7235649270356,0,208000234
30,LRUCacheScheduler,7235651377333,0,216000243
32,LRUCacheScheduler,7235656992281,0,224000252
39,LRUCacheScheduler,7235657854948,0,232000261
34,LRUCacheScheduler,7235658378874,0,240000270
31,LRUCacheScheduler,7235659605310,0,248000279
37,LRUCacheScheduler,7235664904440,0,256000288
35,LRUCacheScheduler,7235679875827,0,264000297
38,LRUCacheScheduler,7235683088193,0,272000306
31,LRUCacheScheduler,7235687425962,0,280000315
34,LRUCacheScheduler,7235689392450,0,288000324
33,LRUCacheScheduler,7235690162827,0,296000333
32,LRUCacheScheduler,7235691078037,0,304000342
39,LRUCacheScheduler,7235693810482,0,312000351
38,LRUCacheScheduler,7235706708755,0,320000360
37,LRUCacheScheduler,7235718628032,0,328000369
31,LRUCacheScheduler,7235718743467,0,336000378
35,LRUCacheScheduler,7235718819572,0,344000387
30,LRUCacheScheduler,7235719133879,0,352000396
36,LRUCacheScheduler,7235719284688,0,360000405
34,LRUCacheScheduler,7235742267287,0,368000414
33,LRUCacheScheduler,7235744924810,0,376000423
32,LRUCacheScheduler,7235745059978,0,384000432
39,LRUCacheScheduler,7235746084842,0,392000441
37,LRUCacheScheduler,7235761745499,0,400000450
36,LRUCacheScheduler,7235765631772,0,408000459
35,LRUCacheScheduler,7235774934603,0,416000468
38,LRUCacheScheduler,7235777471049,0,424000477
31,LRUCacheScheduler,7235783962906,0,432000486
34,LRUCacheScheduler,7235784089250,0,440000495
39,LRUCacheScheduler,7235787131224,0,448000504
30,LRUCacheScheduler,7235790110657,0,456000513
32,LRUCacheScheduler,7235803184836,0,464000522
33,LRUCacheScheduler,7235804578735,0,472000531
37,LRUCacheScheduler,7235807417375,0,480000540
38,LRUCacheScheduler,7235814906713,0,488000549
40,LRUCacheScheduler,7235815911818,0,480000540
30,LRUCacheScheduler,7235816180994,0,480000540
30,LRUCacheScheduler,7235816186396,0,480000540
51,LRUCacheScheduler,7235816361205,0,472000531
39,LRUCacheScheduler,7235816661884,0,480000540
44,LRUCacheScheduler,7235816678079,0,472000531
46,LRUCacheScheduler,7235816906898,0,464000522
31,LRUCacheScheduler,7235817156223,0,472000531
57,LRUCacheScheduler,7235817715415,0,464000522
36,LRUCacheScheduler,7235817807743,0,472000531
47,LRUCacheScheduler,7235817886067,0,456000513
54,LRUCacheScheduler,7235817886253,0,456000513
43,LRUCacheScheduler,7235818065925,0,448000504
53,LRUCacheScheduler,7235818419740,0,440000495
49,LRUCacheScheduler,7235818637615,0,432000486
35,LRUCacheScheduler,7235819186848,0,440000495
41,LRUCacheScheduler,7235819927455,0,432000486
55,LRUCacheScheduler,7235820746061,0,424000477
48,LRUCacheScheduler,7235823095859,0,416000468
40,LRUCacheScheduler,7235823574707,0,408000459
44,LRUCacheScheduler,7235823810752,0,400000450
54,LRUCacheScheduler,7235824629538,0,392000441
46,LRUCacheScheduler,7235824877820,0,384000432
47,LRUCacheScheduler,7235826764026,0,376000423
34,LRUCacheScheduler,7235828189213,0,384000432
42,LRUCacheScheduler,7235828290324,0,376000423
32,LRUCacheScheduler,7235828333354,0,384000432
51,LRUCacheScheduler,7235828956917,0,376000423
56,LRUCacheScheduler,7235829296961,0,368000414
40,LRUCacheScheduler,7235829526225,0,360000405
55,LRUCacheScheduler,7235829780157,0,352000396
33,LRUCacheScheduler,7235830219396,0,360000405
41,LRUCacheScheduler,7235830447874,0,352000396
54,LRUCacheScheduler,7235830477741,0,344000387
50,LRUCacheScheduler,7235831238274,0,336000378
22,LRUCacheScheduler,7235831295164,0,328000369
46,LRUCacheScheduler,7235831843237,0,320000360
52,LRUCacheScheduler,7235832163275,0,312000351
47,LRUCacheScheduler,7235832517980,0,304000342
44,LRUCacheScheduler,7235833280606,0,296000333
48,LRUCacheScheduler,7235834213648,0,288000324
53,LRUCacheScheduler,7235835908654,0,280000315
51,LRUCacheScheduler,7235835963256,0,272000306
43,LRUCacheScheduler,7235836154215,0,264000297
57,LRUCacheScheduler,7235836794143,0,256000288
40,LRUCacheScheduler,7235836816004,0,248000279
54,LRUCacheScheduler,7235837465328,0,240000270
52,LRUCacheScheduler,7235839525369,0,232000261
41,LRUCacheScheduler,7235861650634,0,224000252
46,LRUCacheScheduler,7235861751225,0,216000243
53,LRUCacheScheduler,7235862619096,0,208000234
39,LRUCacheScheduler,7235867985230,0,208000234
39,LRUCacheScheduler,7235867989518,0,208000234
37,LRUCacheScheduler,7235868112171,0,208000234
37,LRUCacheScheduler,7235868114702,0,208000234
31,LRUCacheScheduler,7235868209973,0,208000234
31,LRUCacheScheduler,7235868213011,0,208000234
35,LRUCacheScheduler,7235868284771,0,208000234
35,LRUCacheScheduler,7235868286405,0,208000234
32,LRUCacheScheduler,7235868730796,0,208000234
32,LRUCacheScheduler,7235868736560,0,208000234
36,LRUCacheScheduler,7235868952284,0,208000234
36,LRUCacheScheduler,7235868958562,0,208000234
34,LRUCacheScheduler,7235873995736,0,208000234
34,LRUCacheScheduler,7235874015113,0,208000234
30,LRUCacheScheduler,7235875815923,0,208000234
30,LRUCacheScheduler,7235875822896,0,208000234
38,LRUCacheScheduler,7235876031790,0,208000234
38,LRUCacheScheduler,7235876035917,0,208000234
33,LRUCacheScheduler,7235878347083,0,208000234
33,LRUCacheScheduler,7235878350337,0,208000234
31,LRUCacheScheduler,7235883843826,0,208000234
31,LRUCacheScheduler,7235883851261,0,208000234
35,LRUCacheScheduler,7235884270517,0,208000234
35,LRUCacheScheduler,7235884277761,0,208000234
32,LRUCacheScheduler,7235894419729,0,208000234
32,LRUCacheScheduler,7235894423257,0,208000234
39,LRUCacheScheduler,7235895089697,0,208000234
39,LRUCacheScheduler,7235895093566,0,208000234
34,LRUCacheScheduler,7235895156830,0,208000234
34,LRUCacheScheduler,7235895159595,0,208000234
36,LRUCacheScheduler,7235895837401,0,208000234
36,LRUCacheScheduler,7235895843016,0,208000234
31,LRUCacheScheduler,7235903120580,0,208000234
31,LRUCacheScheduler,7235903131236,0,208000234
37,LRUCacheScheduler,7235905306605,0,208000234
37,LRUCacheScheduler,7235905311705,0,208000234
33,LRUCacheScheduler,7235905521767,0,208000234
33,LRUCacheScheduler,7235905524326,0,208000234
38,LRUCacheScheduler,7235906632012,0,208000234
38,LRUCacheScheduler,7235906635684,0,208000234
30,LRUCacheScheduler,7235906764792,0,208000234
